taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Rhinichthys cobitis	?	1	?	2	0	0
Rhinichthys cataractae	1	1	2	2	0	0
Rhinichthys osculus	1	1	2	2	0	0
Rhinichthys atratulus	1	1	2	2	0	0
Rhinichthys obtusus	?	?	?	?	?	?
Rhinichthys sp. 'Millicoma dace'	?	?	?	?	?	?
Rhinichthys falcatus	1	1	2	2	0	0
Rhinichthys umatilla	?	?	?	?	?	?
Rhinichthys deaconi	?	?	?	?	?	?
Richardsonius balteatus	1	1	2	2	0	0
Richardsonius egregius	1	1	2	2	0	0
Iotichthys phlegethontis	1	1	2	2	0	0
Mylocheilus caurinus	1	1	2	2	0	0
Pogonichthys macrolepidotus	1	1	2	2	0	0
Pogonichthys ciscoides	?	?	?	?	?	?
Phoxinus semotilus	?	?	?	?	?	?
Phoxinus oxycephalus	?	?	?	?	?	?
Phoxinus phoxinus	1	1	2	2	0	0
Phoxinus lumaireul	?	?	?	?	?	?
Phoxinus bigerri	?	?	?	?	?	?
Phoxinus steindachneri	?	?	?	?	?	?
Phoxinus issykkulensis	?	?	?	?	?	?
Phoxinus brachyurus	?	?	?	?	?	?
Phoxinus septimaniae	?	?	?	?	?	?
Phoxinus grumi	?	?	?	?	?	?
Phoxinus tchangi	?	?	?	?	?	?
Phoxinus ujmonensis	?	?	?	?	?	?
Phoxinus strandjae	?	?	?	?	?	?
Phoxinus oxyrhynchus	?	?	?	?	?	?
Phoxinus colchicus	?	?	?	?	?	?
Phoxinus keumkang	?	?	?	?	?	?
Phoxinus strymonicus	?	?	?	?	?	?
Phoxinus sp. BOLD:AAY8725	?	?	?	?	?	?
Phoxinus sp. BOLD:ACB4723	?	?	?	?	?	?
Phoxinus sp. MAL2r	?	?	?	?	?	?
Phoxinus sp. MAL1r	?	?	?	?	?	?
Phoxinus sp. 6 AP-2015	?	?	?	?	?	?
Phoxinus sp. MOA1r	?	?	?	?	?	?
Phoxinus sp. 5 AP-2015	?	?	?	?	?	?
Phoxinus sp. 1a AP-2015	?	?	?	?	?	?
Phoxinus sp. MOR2r	?	?	?	?	?	?
