taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred
Hoplerythrinus_unitaeniatus	1	1	2	1
Malapteruridae	1	?	2	?
Odontostilbe_dialeptura	?	1	?	2
Corydoras_napoensis	1	?	2	?
Corydoras_gracilis	1	?	2	?
Brycinus_derhami	1	1	2	2
Hesperoleucus_symmetricus	1	1	2	2
Aspidoras_virgulatus	1	?	2	?
Notropis_ariommus	1	1	2	2
Notropis_semperasper	1	1	2	2
Notropis_texanus	1	1	2	2
Notropis_girardi	1	1	2	2
Notropis_perpallidus	1	1	2	2
Anchovia_surinamensis	?	1	?	1
Landonia_latidens	?	1	?	2
Mimagoniates_lateralis	?	1	?	2
Cheimarrichthyidae	1	?	2	?
Pimephales_tenellus	1	1	2	2
Garra_sp._(Coburn_and_Cavender_1992)	?	1	?	2
Micralestes_elongatus	1	1	2	2
Distichodus_maculatus	1	1	2	2
Anchoviella_jamesi	?	1	?	1
Cyclocheilichthys_furcatus	?	1	?	2
Bunocephalus_sp._3_(Chen_1994)	1	?	2	?
Neoplecostomus_sp._(Britto_2003)	1	?	2	?
Artedidraconidae	1	?	2	?
Corydoras_zygatus	1	?	2	?
Lycothrissa_crocodilus	?	1	?	2
Lindbergichthys_nudifrons	1	?	2	?
Cyprinus	?	1	?	2
Antennariidae	1	1	1	1
Elassodiscus_caudatus	1	?	2	?
Moxostoma_lacerum	?	1	?	2
Silurus_grahami	1	?	2	?
Loricariichthys_sp._(Schaefer_1987)	1	1	2	2
Astroblepus_sp._(Britto_2003)	1	?	2	?
Farlowella_sp._(Schaefer_1987)	1	1	2	2
Cichlasoma_urophthalmum	?	1	?	2
Loricariidae	1	?	2	?
Catostomus_sp._(Fink_and_Fink_1981)	1	1	2	1
Anchoviella_lepidentostole	?	1	?	1
Scopelarchidae	1	1	2	2
Cetopsis_othonops	1	1	2	2
Pteragogus	1	1	2	2
Centroberyx	?	1	?	2
Schizodon_knerii	?	1	?	2
Notropis_bairdi	1	1	2	2
Leporinus_cf._fasciatus_(Sidlauskas_and_Vari_2008)	?	1	?	2
Ctenolucius_sp._(Fink_and_Fink_1981)	1	1	2	1
Careproctus_melanurus	1	?	2	?
Moclaybalistes_danekrus	?	1	?	1
Doradidae	1	?	2	?
Dorosoma_cepedianum	?	1	?	1
Aspidoras_rochai	1	?	2	?
Plotosidae	1	?	2	?
Ariidae	1	?	2	?
Barbus_barbus	1	1	2	1
Notropis_chrosomus	1	1	2	2
Dinoperca	?	1	?	2
Hypophthalmidae	1	?	2	?
Catostomus_fumeiventris	?	1	?	2
Ilisha_amazonica	?	1	?	1
Pagothenia_borchgrevinki	1	?	2	?
Gephyrocharax_whaleri	?	1	?	2
Psetta_maxima	?	1	?	2
Rivulus_breviceps	1	1	2	2
Myctophidae	?	1	?	2
Farlowella_sp._(Britto_2003)	1	?	2	?
Cetopsidae	1	?	2	?
Microthrissa_royauxi	?	1	?	2
Algansea_lacustris	1	1	2	2
Lepidonotothen	1	?	2	?
Notropis_potteri	1	1	2	2
Acanthomorpha	?	1	?	2
Centromochlus_reticulatus	1	?	2	?
Pleuragramma_antarctica	1	?	2	?
Ptychocharax_rhyacophila	?	1	?	2
Lepthoplosternum_pectorale	1	?	2	?
Hypoptopoma_gulare	1	?	2	?
Pimephales_notatus	1	1	2	2
Boraras_brigittae	1	?	2	?
Petulanos_plicatus	?	1	?	2
Notropis_heterolepis	1	1	2	2
Brevoortia_pectinata	?	1	?	1
