taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred
Mastacembelus_nigromarginatus	1	?	1	?
Amphilophus_robertsoni	?	1	?	2
Amphilophus_macracanthus	?	1	?	2
Leporellus_pictus	?	1	?	2
Anabantidae	1	1	1	1
Parachromis_motaguensis	?	1	?	2
Catostomus_discobolus	?	1	?	2
Catostomus_plebeius	?	1	?	2
Barbourisiidae	?	1	?	2
Pseudopimelodidae	1	?	2	?
Lophichthyidae	1	?	2	?
Catostomus_latipinnis	?	1	?	2
Cheilinus_undulatus	1	1	2	2
Regalecidae	?	1	?	2
Odontostilbe_mitoptera	?	1	?	2
Trematomus	1	?	2	?
Margariscus_margarita	?	1	?	2
Boraras_merah	1	?	2	?
Austroglanididae	1	?	2	?
Herklotsichthys_dispilonotus	?	1	?	2
Megacheirodon_unicus	?	1	?	2
Synodontidae	?	1	?	2
Lubbockichthys	1	1	1	1
Moxostoma_congestum	?	1	?	2
Hypentelium_etowanum	?	1	?	2
Parotocinclus_jimi	1	?	2	?
