taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Coris aygula	1	?	1	?	1	0
Coris picta	1	?	1	?	1	0
Coris formosa	1	?	1	?	1	0
Coris frerei	1	?	1	?	1	0
Coris auricularis	1	?	1	?	1	0
Coris caudimacula	1	?	1	?	1	0
Coris cuvieri	1	?	1	?	1	0
Coris venusta	1	?	1	?	1	0
Coris sandeyeri	1	?	1	?	1	0
Coris centralis	1	?	1	?	1	0
Coris nigrotaenia	1	?	1	?	1	0
Coris marquesensis	1	?	1	?	1	0
Coris ballieui	1	?	1	?	1	0
Coris variegata	1	?	1	?	1	0
Coris musume	1	?	1	?	1	0
Coris debueni	1	?	1	?	1	0
Coris schroederii	1	?	1	?	1	0
Coris roseoviridis	1	?	1	?	1	0
Coris hewetti	1	?	1	?	1	0
Halichoeres pelicieri	1	?	1	?	1	0
Halichoeres iridis	1	?	1	?	1	0
Halichoeres poeyi	1	?	1	?	1	0
Halichoeres brasiliensis	1	?	1	?	1	0
Bodianus unimaculatus	1	?	1	?	1	0
Bodianus scrofa	1	?	1	?	1	0
Bodianus bilunulatus	1	?	1	?	1	0
Bodianus bimaculatus	1	?	1	?	1	0
Bodianus rufus	1	?	1	?	1	0
Bodianus mesothorax	1	?	1	?	1	0
Bodianus diana	1	?	1	?	1	0
Bodianus oxycephalus	1	?	1	?	1	0
Bodianus tanyokidus	1	?	1	?	1	0
Bodianus axillaris	1	?	1	?	1	0
Bodianus speciosus	1	?	1	?	1	0
Bodianus anthioides	1	?	1	?	1	0
Bodianus loxozonus	1	?	1	?	1	0
Bodianus pulchellus	1	?	1	?	1	0
Bodianus trilineatus	1	?	1	?	1	0
Bodianus diplotaenia	1	?	1	?	1	0
Bodianus eclancheri	1	?	1	?	1	0
Bodianus perditio	1	?	1	?	1	0
Bodianus masudai	1	?	1	?	1	0
Bodianus paraleucosticticus	1	?	1	?	1	0
Bodianus prognathus	1	?	1	?	1	0
Bodianus izuensis	1	?	1	?	1	0
Bodianus sanguineus	1	?	1	?	1	0
Bodianus leucosticticus	1	?	1	?	1	0
Bodianus sepiacaudus	1	?	1	?	1	0
Bodianus dictynna	1	?	1	?	1	0
Bodianus busellatus	1	?	1	?	1	0
Bodianus macrognathos	1	?	1	?	1	0
Bodianus flavipinnis	1	?	1	?	1	0
Bodianus neopercularis	1	?	1	?	1	0
Bodianus cylindriatus	1	?	1	?	1	0
Bodianus flavifrons	1	?	1	?	1	0
Bodianus thoracotaeniatus	1	?	1	?	1	0
Bodianus macrourus	1	?	1	?	1	0
Bodianus frenchii	1	?	1	?	1	0
Bodianus solatus	1	?	1	?	1	0
Bodianus opercularis	1	?	1	?	1	0
Bodianus insularis	1	?	1	?	1	0
Bodianus vulpinus	1	?	1	?	1	0
Bodianus rubrisos	1	?	1	?	1	0
Bodianus albotaeniatus	1	?	1	?	1	0
Bodianus neilli	1	?	1	?	1	0
Bodianus bathycapros	1	?	1	?	1	0
Clepticus parrae	1	?	1	?	1	0
Clepticus africanus	1	?	1	?	1	0
Clepticus brasiliensis	1	?	1	?	1	0
Odax cyanoallix	1	?	1	?	1	0
Odax pullus	1	?	1	?	1	0
Siphonognathus argyrophanes	1	0	1	0	0	0
Siphonognathus beddomei	1	?	1	?	1	0
Siphonognathus caninis	1	?	1	?	1	0
Siphonognathus tanyourus	1	?	1	?	1	0
Siphonognathus attenuatus	1	?	1	?	1	0
Siphonognathus radiatus	1	?	1	?	1	0
Haletta semifasciata	1	?	1	?	1	0
Neoodax balteatus	1	?	1	?	1	0
Lachnolaimus maximus	1	?	1	?	1	0
Choerodon cephalotes	1	?	1	?	1	0
Choerodon venustus	1	?	1	?	1	0
Choerodon rubescens	1	?	1	?	1	0
Choerodon anchorago	1	?	1	?	1	0
Choerodon schoenleinii	1	?	1	?	1	0
Choerodon fasciatus	1	?	1	?	1	0
Choerodon azurio	1	?	1	?	1	0
Choerodon robustus	1	?	1	?	1	0
Choerodon oligacanthus	1	?	1	?	1	0
Choerodon zosterophorus	1	?	1	?	1	0
Choerodon caninus	1	?	1	?	1	0
Choerodon vitta	1	?	1	?	1	0
Choerodon graphicus	1	?	1	?	1	0
Choerodon zamboangae	1	?	1	?	1	0
Choerodon margaritiferus	1	?	1	?	1	0
Choerodon cauteroma	1	?	1	?	1	0
Choerodon jordani	1	?	1	?	1	0
Choerodon sugillatum	1	?	1	?	1	0
Choerodon paynei	1	?	1	?	1	0
Choerodon cyanodus	1	?	1	?	1	0
Choerodon gomoni	1	?	1	?	1	0
Choerodon frenatus	1	?	1	?	1	0
Choerodon monostigma	1	?	1	?	1	0
Choerodon gymnogenys	1	?	1	?	1	0
Choerodon melanostigma	1	?	1	?	1	0
Thalassoma virens	1	?	1	?	1	0
Thalassoma hardwicke	1	?	1	?	1	0
Thalassoma grammaticum	1	?	1	?	1	0
Thalassoma amblycephalum	1	?	1	?	1	0
Thalassoma newtoni	1	?	1	?	1	0
Thalassoma ascensionis	1	?	1	?	1	0
Thalassoma noronhanum	1	?	1	?	1	0
Thalassoma sanctaehelenae	1	?	1	?	1	0
Thalassoma trilobatum	1	?	1	?	1	0
Thalassoma rueppellii	1	?	1	?	1	0
Thalassoma robertsoni	1	?	1	?	1	0
Thalassoma pavo	1	?	1	?	1	0
Thalassoma bifasciatum	1	?	1	?	1	0
Thalassoma lunare	1	?	1	?	1	0
Thalassoma purpureum	1	?	1	?	1	0
Thalassoma quinquevittatum	1	?	1	?	1	0
Thalassoma duperrey	1	?	1	?	1	0
Thalassoma ballieui	1	?	1	?	1	0
Thalassoma cupido	1	?	1	?	1	0
Thalassoma genivittatum	1	?	1	?	1	0
Thalassoma hebraicum	1	?	1	?	1	0
Thalassoma jansenii	1	?	1	?	1	0
Thalassoma loxum	1	?	1	?	1	0
Thalassoma lucasanum	1	?	1	?	1	0
Thalassoma lutescens	1	?	1	?	1	0
Thalassoma nigrofasciatum	1	?	1	?	1	0
Thalassoma heiseri	1	?	1	?	1	0
Symphodus ocellatus	1	1	2	2	1	1
Symphodus rostratus	1	1	2	2	1	1
Symphodus melops	1	1	2	2	1	1
Symphodus mediterraneus	1	1	2	2	1	1
Symphodus melanocercus	1	1	2	2	1	1
Symphodus tinca	1	1	2	2	1	1
Symphodus roissali	1	1	2	2	1	1
Symphodus bailloni	1	1	2	2	1	1
Symphodus cinereus	1	1	2	2	1	1
Symphodus doderleini	1	1	2	2	1	1
Semicossyphus pulcher	1	?	1	?	1	0
Semicossyphus darwini	1	?	1	?	1	0
Semicossyphus reticulatus	1	?	1	?	1	0
Pseudojuloides cerasinus	1	?	1	?	1	0
Pseudojuloides severnsi	1	?	1	?	1	0
Pseudojuloides atavai	1	?	1	?	1	0
Pseudojuloides argyreogaster	1	?	1	?	1	0
Pseudojuloides erythrops	1	?	1	?	1	0
Pseudojuloides kaleidos	1	?	1	?	1	0
Pseudojuloides xanthomos	1	?	1	?	1	0
Pseudojuloides elongatus	1	?	1	?	1	0
Pseudojuloides mesostigma	1	?	1	?	1	0
Pseudojuloides pyrius	1	?	1	?	1	0
Pseudojuloides inornatus	1	?	1	?	1	0
Pseudolabrus gayi	1	?	1	?	1	0
Pseudolabrus biserialis	1	?	1	?	1	0
Pseudolabrus guentheri	1	?	1	?	1	0
Pseudolabrus japonicus	1	?	1	?	1	0
Pseudolabrus miles	1	?	1	?	1	0
Pseudolabrus fuentesi	1	?	1	?	1	0
Pseudolabrus eoethinus	1	?	1	?	1	0
Pseudolabrus sieboldi	1	?	1	?	1	0
Pseudolabrus torotai	1	?	1	?	1	0
Pseudolabrus semifasciatus	1	?	1	?	1	0
Pseudolabrus rubicundus	1	?	1	?	1	0
